tittle;rooms;price;meters;bathrooms;garage;terrace;zipcode;year;hotels
Piso en Arroyo - Santa Justa, Sevilla;3 hab.;209,6;97 m²;1;0;0;41007;1965;3
Piso en Arroyo - Santa Justa, Sevilla;3 hab.;205;85 m²;1;0;0;41007;0;3
Piso en Arroyo - Santa Justa, Sevilla;3 hab.;200;83 m²;1;0;0;41007;1965;3
Piso en Arroyo - Santa Justa, Sevilla;1 hab.;163;53 m²;1;0;0;41007;2013;3
Piso en Arroyo - Santa Justa, Sevilla;3 hab.;162;77 m²;1;0;0;41007;1972;3
Piso en Arroyo - Santa Justa, Sevilla;3 hab.;158;76 m²;1;0;1;41007;1972;3
Piso en Arroyo - Santa Justa, Sevilla;3 hab.;155;77 m²;1;0;0;41007;1972;3
Piso en Arroyo - Santa Justa, Sevilla;3 hab.;155;77 m²;1;0;0;41007;1972;3
Piso en ARROYO, Arroyo - Santa Justa, Sevilla;3 hab.;153;80 m²;1;0;1;41007;0;3
Piso en Arroyo, Arroyo - Santa Justa, Sevilla;3 hab.;153,5;76 m²;1;0;1;41007;1972;3
Piso en Arroyo, Arroyo - Santa Justa, Sevilla;3 hab.;161;77 m²;1;0;0;41007;0;3
Piso en Arroyo, Arroyo - Santa Justa, Sevilla;3 hab.;153,5;76 m²;1;0;1;41007;1972;3
Piso en ARROYO, Arroyo - Santa Justa, Sevilla;3 hab.;153;80 m²;1;0;1;41007;0;3
Piso en asensio y toledo, 42, Bellavista, Sevilla;3 hab.;112,26;96 m²;1;0;1;41014;1970;3
Piso en Asunción - Adolfo Suárez, Sevilla;7 hab.;1150;380 m²;5;1;0;41011;1976;2
Piso en Asunción - Adolfo Suárez, Sevilla;4 hab.;1000;303 m²;4;0;0;41011;0;2
Piso en Asunción - Adolfo Suárez, Sevilla;5 hab.;520;198 m²;3;1;1;41011;1968;2
Piso en Asunción - Adolfo Suárez, Sevilla;4 hab.;485;185 m²;3;1;0;41011;0;2
Piso en Asunción - Adolfo Suárez, Sevilla;4 hab.;450;145 m²;3;1;1;41011;1985;2
Piso en Asunción - Adolfo Suárez, Sevilla;4 hab.;419;160 m²;2;1;1;41011;0;2
Piso en Asunción - Adolfo Suárez, Sevilla;4 hab.;415;220 m²;3;0;1;41011;1964;2
Piso en Asunción - Adolfo Suárez, Sevilla;4 hab.;399;162 m²;2;0;1;41011;1974;2
Piso en Asunción - Adolfo Suárez, Sevilla;4 hab.;380;220 m²;3;0;1;41011;1964;2
Piso en Asunción - Adolfo Suárez, Sevilla;3 hab.;350;115 m²;2;0;0;41011;0;2
Piso en Asunción - Adolfo Suárez, Sevilla;3 hab.;348;122 m²;2;0;1;41011;2021;2
Piso en Asunción - Adolfo Suárez, Sevilla;3 hab.;329,7;96 m²;2;0;0;41011;0;2
Piso en Asunción - Adolfo Suárez, Sevilla;4 hab.;314;133 m²;2;0;1;41011;1957;2
Piso en Asunción - Adolfo Suárez, Sevilla;4 hab.;300;100 m²;2;0;1;41011;0;2
Piso en ASUNCIÓN, Ramón de Carranza - Madre Rafols, Sevilla;5 hab.;760;263 m²;3;1;1;41011;0;2
Piso en Av. de la Cruz del Campo, 19, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;4 hab.;390;211 m²;3;0;1;41005;0;2
Piso en Av. Reina Mercedes, Reina Mercedes - Heliópolis, Sevilla;4 hab.;240;128 m²;2;0;1;41012;1967;3
Piso en avada ramón y cajal, Nervión, Sevilla;2 hab.;170;62 m²;1;0;0;41005;0;2
Piso en avenida Blas Infante, Blas Infante, Sevilla;4 hab.;500;178 m²;2;1;1;41011;0;2
Piso en avenida Blas Infante, Blas Infante, Sevilla;5 hab.;500;180 m²;3;1;0;41011;0;2
Piso en avenida Blas Infante, Sevilla, Blas Infante, Sevilla;6 hab.;505;214 m²;3;1;1;41011;1975;2
Piso en avenida Buhaira, San Bernardo-Buhaira-Huerta del Rey, Sevilla;3 hab.;600;150 m²;2;1;0;41018;2008;5
Piso en avenida Cardenal Ilundain, Sevilla, La Palmera - Manuel Siurot, Sevilla;5 hab.;1200;315 m²;4;1;1;41013;2005;3
Piso en avenida de Altamira, s/n, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla;4 hab.;192;104 m²;2;0;0;41020;0;6
Piso en avenida de Andalucía, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;3 hab.;87;74 m²;1;0;0;41005;1964;2
Piso en avenida de Andalucía, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla;3 hab.;229;98 m²;2;1;1;41005;0;2
Piso en avenida de Andalucía, Santa Aurelia, Sevilla;2 hab.;116;72 m²;1;1;1;41006;1980;1
Piso en avenida de Bellavista, 19, Bellavista, Sevilla;3 hab.;100;83 m²;1;0;1;41014;1980;3
Piso en avenida de Bellavista, 25, Bellavista, Sevilla;2 hab.;66;55 m²;1;0;0;41014;0;3
Piso en avenida de Bellavista, 4, Bellavista, Sevilla;2 hab.;95;73 m²;1;0;0;41014;1976;3
Piso en avenida de Bellavista, 8, Bellavista, Sevilla;3 hab.;110;76 m²;1;0;1;41014;1976;3
Piso en avenida de Bellavista, Bellavista, Sevilla;3 hab.;97,5;105 m²;2;0;0;41014;1975;3
Piso en avenida de Bellavista, Bellavista, Sevilla;3 hab.;142;70 m²;1;0;1;41014;1976;3
Piso en avenida de Bellavista, Bellavista, Sevilla;3 hab.;160;71 m²;1;0;1;41014;1976;3
Piso en avenida DE BELLAVISTA, s/n, Bellavista, Sevilla;2 hab.;104,05;85 m²;1;1;0;41014;1972;3
Piso en avenida de Cádiz, Prado de San Sebastián - Ramón Carande, Sevilla;2 hab.;220;92 m²;1;0;1;41004;0;53
Piso en avenida de Cádiz, San Bernardo-Buhaira-Huerta del Rey, Sevilla;3 hab.;600;190 m²;2;1;0;41018;0;5
Piso en avenida de Cádiz, San Bernardo-Buhaira-Huerta del Rey, Sevilla;3 hab.;600;190 m²;2;1;0;41018;0;5
Piso en avenida de Diego Martínez Barrio, Tiro de Línea, Sevilla;2 hab.;119;40 m²;1;0;0;41013;1973;3
Piso en avenida de El Greco, Luis Montoto - Santa Justa, Sevilla;3 hab.;256;126 m²;1;0;1;41007;1965;3
