tittle;rooms;price;meters;bathrooms;garage;terrace;zipcode;year;hotels
Piso en Barriada de San Diego, s/n, Los Carteros - San Diego, Sevilla;4 hab.;120;81 m²;1;0;0;41015;0;0
Piso en barriada san diego, s/n, Los Carteros - San Diego, Sevilla;3 hab.;125;81 m²;1;0;0;41015;0;0
Piso en Barrio León - Tardón, Sevilla;4 hab.;471,11;180 m²;2;0;0;41010;0;5
Piso en Barrio León - Tardón, Sevilla;2 hab.;220;76 m²;1;0;0;41010;1951;5
Piso en Barrio León - Tardón, Sevilla;3 hab.;220;105 m²;2;0;1;41010;0;5
Piso en Barrio León - Tardón, Sevilla;1 hab.;169;74 m²;1;0;0;41010;1979;5
Piso en BARRRIADA PARQUE FLORES, Pino Montano, Sevilla;4 hab.;189;125 m²;2;1;1;41015;1995;0
Piso en bejar, Parque de los Principes - Calle Niebla, Sevilla;3 hab.;185;83 m²;1;0;1;41011;1940;2
Piso en Bellavista, Sevilla;2 hab.;57,5;47 m²;1;0;1;41014;1970;3
Piso en Bellavista, Sevilla;3 hab.;95;71 m²;1;0;0;41014;1976;3
Piso en Bellavista, Sevilla;3 hab.;99,99;92 m²;1;0;0;41014;1968;3
Piso en Bellavista, Sevilla;4 hab.;109,99;108 m²;2;0;0;41014;1980;3
Piso en Bellavista, Sevilla;3 hab.;140;124 m²;1;1;0;41014;1981;3
Piso en betis, Calle Betis - Pagés del Corro, Sevilla;2 hab.;600;129 m²;2;0;0;41010;2019;5
Piso en BLAS INFANTE, Blas Infante, Sevilla;5 hab.;485;184 m²;3;1;1;41011;1975;2
Piso en Blas Infante, Sevilla;5 hab.;485;185 m²;3;1;0;41011;1975;2
Piso en Caldereros, Bellavista, Sevilla;4 hab.;144,99;102 m²;2;1;0;41014;1981;3
Piso en calle Aceituno, San Julián, Sevilla;3 hab.;175;78 m²;1;0;0;41003;0;44
Piso en calle Afán de Ribera, Cerro del Águila, Sevilla;4 hab.;165;140 m²;2;0;1;41006;0;1
Piso en calle Aguadulce, Rochelambert, Sevilla;2 hab.;52,49;64 m²;1;0;1;41006;1970;1
Piso en calle Águila Perdicera, 9, Su Eminencia - La Oliva, Sevilla;3 hab.;147,5;102 m²;2;1;0;41013;2019;3
Piso en calle Águila Perdicera, 9, Su Eminencia - La Oliva, Sevilla;3 hab.;154;100 m²;2;0;1;41013;2020;3
Piso en calle Águila Perdicera, 9, Su Eminencia - La Oliva, Sevilla;3 hab.;154;100 m²;2;0;1;41013;2020;3
Piso en calle Ahínco, Palmete-Padre Pío-Hacienda San Antonio, Sevilla;3 hab.;89,9;79 m²;2;0;0;41006;2005;1
